holder,tx_to_router,fails,success,fail_rate,max_consecutive_fails,avg_gas_failed,total_gas_waste_eth,clusters_2h_count,sell_txs,sell_fail_rate,first_tx,last_tx
0xe231dd595f41bf6af34c182ac8b7c88d35b9bfe7,2,0,2,0.0,0,0.0,0.0,0,0,0.0,2022-11-29 23:12:23+00:00,2022-11-29 23:24:47+00:00
0x92687c7f8657df54feb5d1bb62cbd74d96936bfe,114,14,100,0.1228,2,117556.0,0.026747,1,36,0.1111,2022-11-17 03:14:23+00:00,2022-11-30 21:47:11+00:00
0x18d32f3ec040e23a2f155c702989d46b6653a5cc,1119,33,1086,0.0295,4,154968.0,0.100364,2,503,0.0417,2022-08-26 11:39:18+00:00,2022-12-04 10:56:47+00:00
0xa123cb04c232f1a39a0a152b1c26c7d6d06948c7,386,130,256,0.3368,7,58564.0,0.227131,7,105,0.1619,2022-09-14 00:35:54+00:00,2023-07-06 20:03:47+00:00
0x9e8a819a48f6bf2459e298c6fa34408da8eaa5c5,36,7,29,0.1944,3,151608.0,0.012442,0,0,0.0,2022-11-29 21:37:11+00:00,2023-01-15 03:22:59+00:00
0x3d44943ff685a031779a8d0dbd1cf6706062b9c7,58,8,50,0.1379,2,169355.0,0.017097,0,0,0.0,2022-11-29 21:36:35+00:00,2023-01-15 03:53:35+00:00
0x62623625510883c79ddc16a93014fa3d0fe37260,283,41,242,0.1449,4,156220.0,0.104613,5,121,0.1322,2022-11-15 22:04:59+00:00,2023-01-04 07:13:59+00:00
0x321fa3388b98215eed2cb67ab0181db760cad5d1,1670,214,1456,0.1281,3,172359.0,1.132692,11,0,0.0,2022-04-23 02:49:23+00:00,2025-07-19 20:16:35+00:00
0x25f780da26cec8c958de76b92af55165d49c60ba,38,6,32,0.1579,1,114355.0,0.009218,0,0,0.0,2022-11-29 21:36:47+00:00,2023-01-15 03:53:47+00:00
0xd84289fb4f9ddb429662cfee79d718f30f833579,1386,196,1190,0.1414,4,94160.0,0.636738,11,470,0.0745,2022-10-10 12:33:23+00:00,2023-01-12 23:14:59+00:00
0x6b0cfb4bf0ddb0313c4606b68b3ff6ceb62844ad,1125,39,1086,0.0347,5,107931.0,0.114311,2,471,0.0212,2022-10-27 09:13:11+00:00,2023-04-17 11:59:11+00:00
0xd1616063ef1aef2349608a7e8fc05dae1c446087,120,13,107,0.1083,1,108661.0,0.023795,1,37,0.0811,2022-11-17 03:14:23+00:00,2022-11-30 21:46:59+00:00
0x285b3bc1f46d2bf1142966a5e1c4834b86b82aba,6812,932,5880,0.1368,8,98041.0,1.775198,145,385,0.1714,2022-08-10 21:44:10+00:00,2023-01-04 05:00:23+00:00
0x83f93a7491baead8a20e17c77c407707c2d069c7,771,140,631,0.1816,4,85748.0,0.27261,8,239,0.0795,2022-10-18 16:12:35+00:00,2023-01-12 23:17:59+00:00
0x6905fdbc98b4574db09aba113797e01fd1f33f3c,1011,45,966,0.0445,3,136226.0,0.179096,1,425,0.0235,2022-10-27 15:50:47+00:00,2023-04-17 11:59:11+00:00
0xf3a595e5c1fa13dbf6f2a112a2cf39903752782c,364,26,338,0.0714,3,176828.0,0.072853,2,0,0.0,2022-06-16 22:34:11+00:00,2023-01-14 17:25:35+00:00
0xf379fd42981c175506739b443b7954d9b6871d1d,533,130,403,0.2439,6,123392.0,0.588007,23,131,0.0534,2022-10-18 20:01:47+00:00,2023-01-10 17:24:35+00:00
0x1f09b4aaf7971d86408d9751ebe6786bd0b0aefb,116,14,102,0.1207,1,122479.0,0.026816,1,38,0.1053,2022-11-17 03:14:23+00:00,2022-11-30 21:47:11+00:00
0xb78a1fe1a98d12205171f28171f2a8f469ecfbf7,134,16,118,0.1194,2,117768.0,0.029237,1,46,0.1087,2022-11-17 03:14:23+00:00,2022-11-30 23:31:23+00:00
0x0a8a23c76dc6fd005a4e2e319348ccaa09f580aa,697,57,640,0.0818,3,170188.0,0.515797,2,250,0.028,2022-10-14 21:01:11+00:00,2024-11-24 12:02:11+00:00
0xd8379a71c8593c0029b5575c7e018a48d0f3aa13,29,9,20,0.3103,5,93223.0,0.025352,1,3,0.3333,2022-11-29 12:59:11+00:00,2022-12-22 20:45:47+00:00
0x93fcb0936e7d128b3d4df79250dabb1f21befe5b,0,0,0,0.0,0,0.0,0.0,0,0,0.0,,
0x377d74e2c96bdbe666c0bddbfc05b0d4594acbe3,138,1,137,0.0072,1,31550.0,0.000504,0,59,0.0,2022-11-23 12:12:23+00:00,2022-12-05 03:40:59+00:00
0x90faf03c8c3164eb263d2e115124bb85d3109a0f,17,1,16,0.0588,1,482155.0,0.028929,0,2,0.5,2022-11-29 13:05:11+00:00,2023-01-18 18:15:11+00:00
0xc1dbd06d5a0ac4236989e7db2b63d600131f305f,117,15,102,0.1282,1,139166.0,0.031531,1,38,0.1053,2022-11-17 03:14:23+00:00,2022-11-30 21:47:11+00:00
0xb28f24b847fcd94719308345983b1c45e7e1ec85,599,118,481,0.197,3,134823.0,0.26043,15,298,0.198,2022-11-01 10:25:35+00:00,2022-12-12 01:35:59+00:00
0xcac87d87c5ed071a5f0df3d131a484a54c220d80,567,103,464,0.1817,4,83626.0,0.188674,5,168,0.0595,2022-10-24 22:40:35+00:00,2023-01-12 23:19:23+00:00
0xf1dfd94c1ddcccea7137e74dacfc77f5861a859f,497,93,404,0.1871,7,100250.0,0.170525,12,241,0.1784,2022-10-19 04:58:11+00:00,2022-12-31 23:15:11+00:00
